trials.thisTrialN,trials.stepSize,trials.intensity,fixation.started,fixation.stopped,grating.started,key_resp.started,grating.stopped,corrAns,tilt,key_resp.corr,trials.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
0,2,10.0,94.96962640003767,95.5111079000053,95.5111079000053,95.5111079000053,95.82128650002414,right,10.0,1,1,-64.30597470002249,422452,001,2023-09-06_13h47.04.949,staircase_adaptive_1,2023.1.3,60.00556850327399,
1,2,8.0,99.6538229000289,100.153988200007,100.153988200007,100.153988200007,100.4538496999885,left,-8.0,1,1,-66.99558810004964,422452,001,2023-09-06_13h47.04.949,staircase_adaptive_1,2023.1.3,60.00556850327399,
2,2,6.0,101.60384390002582,102.10422179999296,102.10422179999296,102.10422179999296,102.40357470000163,right,6.0,1,1,-67.80325570004061,422452,001,2023-09-06_13h47.04.949,staircase_adaptive_1,2023.1.3,60.00556850327399,
3,2,4.0,102.73714169999585,103.2372461000341,103.2372461000341,103.2372461000341,103.53726950002601,right,4.0,1,1,-65.21253489999799,422452,001,2023-09-06_13h47.04.949,staircase_adaptive_1,2023.1.3,60.00556850327399,
4,1,2.0,106.47017650003545,106.97039040003438,106.97039040003438,106.97039040003438,107.27031350001926,right,2.0,0,0,-67.16421760001685,422452,001,2023-09-06_13h47.04.949,staircase_adaptive_1,2023.1.3,60.00556850327399,
5,1,3.0,108.25352880003629,108.75368480000179,108.75368480000179,108.75368480000179,109.05339120002463,right,3.0,1,1,-67.34852440009126,422452,001,2023-09-06_13h47.04.949,staircase_adaptive_1,2023.1.3,60.00556850327399,
6,1,3.0,109.85353540000506,110.35357780003687,110.35357780003687,110.35357780003687,110.65348650002852,left,-3.0,1,1,-67.59810310002649,422452,001,2023-09-06_13h47.04.949,staircase_adaptive_1,2023.1.3,60.00556850327399,
7,1,3.0,111.2035606999998,111.7034924000036,111.7034924000036,111.7034924000036,112.00332040002104,left,-3.0,1,1,-67.75301570002921,422452,001,2023-09-06_13h47.04.949,staircase_adaptive_1,2023.1.3,60.00556850327399,
8,1,2.0,112.38705580000533,112.8869943000027,112.8869943000027,112.8869943000027,113.18667970004026,right,2.0,1,1,-67.40599120006664,422452,001,2023-09-06_13h47.04.949,staircase_adaptive_1,2023.1.3,60.00556850327399,
9,1,2.0,113.92005890002474,114.42010859999573,114.42010859999573,114.42010859999573,114.7200364000164,right,2.0,1,1,-67.6181879999931,422452,001,2023-09-06_13h47.04.949,staircase_adaptive_1,2023.1.3,60.00556850327399,
10,1,2.0,115.23658800002886,115.73670780000975,115.73670780000975,115.73670780000975,116.0364988000365,left,-2.0,1,1,-67.36708470003214,422452,001,2023-09-06_13h47.04.949,staircase_adaptive_1,2023.1.3,60.00556850327399,
